time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-24T11:14:30.948Z,38.1358,-117.9883,11.2,1,ml,9,139.53,0.023,0.055,nn,nn00832327,2022-01-24T11:18:35.955Z,"30 km SSE of Mina, Nevada",earthquake,,1,0.36,3,automatic,nn,nn
2022-01-24T10:56:29.204Z,63.0704,-150.0629,94.4,1.6,ml,,,,0.3,ak,ak02213v6q94,2022-01-24T10:59:29.100Z,"66 km WSW of Cantwell, Alaska",earthquake,,0.9,,,automatic,ak,ak
2022-01-24T10:35:22.000Z,38.1176,-117.9629,15,1.1,ml,12,138.05,0.022,0.3064,nn,nn00832322,2022-01-24T10:39:26.716Z,"32 km SSE of Mina, Nevada",earthquake,,0.6,0.16,7,automatic,nn,nn
2022-01-24T10:28:15.435Z,-18.2103,-175.3265,252.54,4.4,mb,,139,4.718,0.7,us,us7000geiy,2022-01-24T10:53:08.040Z,"149 km WNW of Neiafu, Tonga",earthquake,13.2,8.9,0.105,26,reviewed,us,us
2022-01-24T10:20:40.030Z,19.2146663665771,-155.41716003418,33.2400016784668,2.32,ml,45,141,,0.129999995,hv,hv72887992,2022-01-24T10:26:11.070Z,"6 km ENE of Pāhala, Hawaii",earthquake,0.55,0.699999988,3.04,9,automatic,hv,hv
2022-01-24T10:18:00.669Z,61.4912,-149.2636,28,1.8,ml,,,,0.76,ak,ak02213uyiub,2022-01-24T10:24:15.062Z,"9 km S of Gateway, Alaska",earthquake,,0.1,,,automatic,ak,ak
2022-01-24T09:15:30.300Z,34.8955,-119.1371667,2.43,1.35,ml,17,68,0.083,0.23,ci,ci39921751,2022-01-24T09:19:05.685Z,"6km NNE of Pine Mountain Club, CA",earthquake,0.48,1.73,0.154,25,automatic,ci,ci
2022-01-24T08:45:34.620Z,39.2475014,-123.0619965,2.51,1.3,md,8,144,0.1359,0.08,nc,nc73682391,2022-01-24T09:23:11.344Z,"12km E of Redwood Valley, CA",earthquake,0.46,9.33,0.11,3,automatic,nc,nc
2022-01-24T08:36:24.209Z,61.9681,-149.0173,16,1.7,ml,,,,0.43,ak,ak02213tvkcf,2022-01-24T08:41:03.617Z,"25 km NNW of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-01-24T08:31:58.380Z,35.7491667,-117.5693333,5.01,1.18,ml,18,151,0.07027,0.18,ci,ci39921727,2022-01-24T08:35:29.245Z,"15km W of Searles Valley, CA",earthquake,0.39,0.7,0.141,12,automatic,ci,ci
2022-01-24T08:26:24.197Z,31.65595367,-104.46013,6.080151367,3.5,ml,36,66,0.03689213384,0.2,tx,tx2022bqrg,2022-01-24T08:57:47.856Z,"58 km S of Whites City, New Mexico",earthquake,0.9875112933,0.8438779477,0.1,22,reviewed,tx,tx
2022-01-24T08:09:45.900Z,19.1731662750244,-155.485336303711,33.4000015258789,2.02999997,md,32,156,,0.170000002,hv,hv72887912,2022-01-24T08:12:59.260Z,"3 km SSW of Pāhala, Hawaii",earthquake,0.66,0.959999979,0.140000001,5,automatic,hv,hv
2022-01-24T07:46:34.290Z,17.9496,-66.8991,16,2.69,md,12,197,0.0323,0.16,pr,pr2022024004,2022-01-24T11:04:03.898Z,"Puerto Rico region",earthquake,0.6,0.4,0.02,3,reviewed,pr,pr
2022-01-24T07:45:30.968Z,63.2827,-151.0498,0,1.8,ml,,,,0.92,ak,ak02213tc2p1,2022-01-24T07:58:19.027Z,"44 km SE of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
